id,name,status,first_air_date,episode_run_time,overview,vote_average,vote_count,genres,keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,networks,created_by,last_episode_to_air,Cast_Summary,Crew_Summary,Video_Summary,source_series_name
90970,Made for Love,Canceled,2021-04-01,30,"Thirty-something Hazel Green tries to escape a suffocating marriage — until she realizes her tech billionaire husband has implanted a revolutionary tracking device, the Made for Love, in her brain.",6.723,182,"Sci-Fi & Fantasy, Drama, Comedy","based on novel or book, dark comedy, sex doll, marital problem, tracking device, father daughter relationship, tech company",Made for Love,/4FsrPwd2umUjl2T5BExVPTlI85u.jpg,/otnWfF8LXkWN6kRoqgZ3vJI0MDn.jpg,16.2681,en,Scripted,16,2,https://www.hbomax.com/made-for-love,HBO Max,"Patrick Somerville, Alissa Nutting, Christina Lee, Dean Bakopoulos",Hazel vs. Hazel,"Cristin Milioti, Billy Magnussen, Dan Bakkedahl, Noma Dumezweni, Caleb Foote","Leslie Woo (Casting), Christine Greene Roe (Music Supervisor), Cristin Milioti (Producer)",,made for love
64439,Making a Murderer,Ended,2015-12-18,60,"Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime.",7.818,508,"Documentary, Crime","prison, corruption, wisconsin, revenge, trial, dirty cop, murderer, wrecking yard, criminal justice",Making a Murderer,/sy2nV3rCcJQaRK5M0NWvvTU7CBx.jpg,/i0bVPXHdvLQzE1Ld8dDwbCj1kOW.jpg,7.3266,en,Documentary,20,2,https://www.netflix.com/title/80000770,Netflix,"Moira Demos, Laura Ricciardi",Trust No One,Kathleen Zellner,,Making A Murderer | Trailer [HD] | Netflix,making a murderer
197588,Man Vs Bee,Ended,2022-06-24,11,"A man finds himself at war with a bee while house-sitting a luxurious mansion. Who will win, and what irreparable damage will be done in the process?",7.175,599,"Comedy, Family","slapstick comedy, house-sitting",Man Vs Bee,/c80mxgOPvSWJBcgWoI5bf3et5Ws.jpg,/3sa9jvM89Y2qimpKlWIQBPxqeRE.jpg,7.3876,en,Scripted,9,1,https://www.netflix.com/title/81222715,Netflix,"Rowan Atkinson, Will Davies",Chapter 9,Rowan Atkinson,"Will Davies (Writer), Will Davies (Producer), Chris Clark (Executive Producer)",Official Trailer,man vs bee
67156,Man with a Plan,Canceled,2016-10-24,22,A dad finds out that parenting is harder than he thought after his wife goes back to work and he's left at home to take care of the kids.,6.744,121,Comedy,"father, parenting, family, fatherhood, sitcom",Man with a Plan,/fCJMHR0GmR4layd4KQXC1HUPMlf.jpg,/r4BgDyLaWKd1ealnVEsG2eJLsc.jpg,30.4943,en,Scripted,69,4,http://cbs.com/shows/man-with-a-plan,CBS,"Jeff Filgo, Jackie Filgo",Happy Ann-RV-sary,"Matt LeBlanc, Liza Snyder, Stacy Keach, Matt Cook, Kali Rocha","John Kimbrough (Music), Matt LeBlanc (Executive Producer)",MAN WITH A PLAN - Official Trailer - CBS New Shows 2016,man with a plan
73411,Maniac,Ended,2018-09-21,0,"Two strangers are drawn to a mysterious pharmaceutical trial that will, they're assured, with no complications or side-effects whatsoever, solve all of their problems, permanently. Things do not go as planned.",7.355,904,"Comedy, Drama, Sci-Fi & Fantasy","schizophrenia, computer, surrealism, dark comedy, psychiatric hospital, miniseries, mental disorders, drug trial, mother son relationship, brother brother relationship",Maniac,/kCNl4QPstAqChFD0NnLpbDFG8ul.jpg,/f9z6gCtDlr88l2VBQOY6luaSfPi.jpg,23.8385,en,Miniseries,10,1,https://www.netflix.com/title/80124522,Netflix,"Patrick Somerville, Cary Joji Fukunaga",Option C,"Emma Stone, Jonah Hill, Sonoya Mizuno, Justin Theroux, Sally Field","Jenny Eagan (Costume Design), Jonah Hill (Executive Producer), Anu Schwartz (Supervising Art Director)",Maniac | Official Trailer [HD] | Netflix,maniac
79696,Manifest,Ended,2018-09-24,42,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",7.655,1662,"Sci-Fi & Fantasy, Mystery, Drama","new york city, time travel, investigation, presumed dead, passengers, airplane flight",Manifest,/eTemCphrglLKrXOsNRhYezHA7H9.jpg,/iZu83GB1IM7VXL2X90m7iLHYUHU.jpg,54.3578,en,Scripted,62,4,https://www.netflix.com/title/80241318,"NBC, Netflix",Jeff Rake,Final Boarding,"Melissa Roxburgh, Josh Dallas, J.R. Ramirez, Luna Blaise, Parveen Kaur","Robert Zemeckis (Executive Producer), Robert Zemeckis (Producer)",Trailer,manifest
92916,Marianne,Canceled,2019-09-13,52,"When a novelist realizes her terrifying stories are coming true, she returns to her hometown to face the demons from her past that inspire her writing.",7.631,533,Mystery,"france, ocean, haunting, demon, ghost, evil witch",Marianne,/hpeaMzflHMEepUGiCjXld7lrnC2.jpg,/yD01qWyOqc6J2lRutzOt3Wu8Wnz.jpg,15.1472,fr,Scripted,8,1,https://www.netflix.com/title/80217779,Netflix,Samuel Bodin,Tuesday,"Victoire du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Corinne Valancogne","Samuel Bodin (Director), Quoc Dang Tran (Writer), Samuel Bodin (Writer)",Marianne | Main Trailer | Netflix,marianne
116041,Love (ft. Marriage and Divorce),Ended,2021-01-23,68,"Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",7.095,21,Drama,"infidelity, marriage, divorce",결혼작사 이혼작곡,/bb82u4HyI8I469TGw2B7d1oM49.jpg,/hkwceBwHOkog5GeDvB1tErKa3Jt.jpg,12.6984,ko,Scripted,48,3,http://broadcast.tvchosun.com/broadcast/program/1/C202000149.cstv,TV Chosun,Im Sung-han,Episode 16,"Sung Hoon, Lee Ga-ryeong, Lee Tae-gon, Park Joo-mi, Jeon No-min","Oh Sang-won (Director), Im Sung-han (Writer)",,marriage lyrics and divorce music
59046,Marry Him If You Dare,Ended,2013-10-14,65,"Set in the world of television broadcasting, Na Mi-rae travels back in time to prevent her 32-year-old self from marrying news anchor Kim Shin, thus sending her past self down a different path and enabling her to pursue the things she really wanted in life.",2.4,11,"Drama, Sci-Fi & Fantasy","changing the past or future, chaebol",미래의 선택,/9Av5nkc0Jlew11pf1EInx4ggFfu.jpg,/kBBody6zZZcUOxraAYhNSiFgIT.jpg,8.8227,ko,Scripted,16,1,http://program.kbs.co.kr/2tv/drama/mirae/pc/index.html,KBS2,,Episode 16,"Yoon Eun-hye, Han Chae-a, Lee Dong-gun, Choi Myung-gil, Jung Yong-hwa","Kim Young-gyun (Producer), Park Woo-ram (Producer), Kwon Kye-hong (Director)",Marry Him If You Dare | 미래의 선택 | 未来之选择 [Trailer],marry him if you dare
111312,Marvel's M.O.D.O.K.,Canceled,2021-05-21,25,"The megalomaniacal supervillain M.O.D.O.K. has long pursued his dream of one day conquering the world. But after years of setbacks and failures fighting the Earth’s mightiest heroes, M.O.D.O.K. has run his evil organization A.I.M. into the ground. Ousted as A.I.M.’s leader, while also dealing with his crumbling marriage and family life, the Mental Organism Designed Only for Killing is set to confront his greatest challenge yet: a midlife crisis!",6.653,186,"Comedy, Animation, Action & Adventure, Sci-Fi & Fantasy","superhero, based on comic, stop motion, adult animation",Marvel's M.O.D.O.K.,/2kXRzRjQZs9kAIm3K9MkQgsZR9C.jpg,/zFOn9MgW1oSGyc8HKUAI3bV8NPc.jpg,15.5762,en,Scripted,10,1,https://www.hulu.com/series/202e4b17-c57e-4a2d-9c1d-342e3a092a22,Hulu,"Jordan Blum, Patton Oswalt",Days of Future M.O.D.O.K.s!,"Patton Oswalt, Melissa Fumero, Aimee Garcia, Ben Schwartz, Wendi McLendon-Covey","Daniel Rojas (Original Music Composer), Jordan Blum (Executive Producer), Jeph Loeb (Executive Producer)",Sneak Peek Clip,marvels m o d o k
156888,Mask Girl,Ended,2023-08-18,0,An office worker who is insecure about her looks becomes a masked internet personality by night — until a chain of ill-fated events overtakes her life.,7.4,162,"Drama, Comedy, Mystery, Crime","insecure woman, streamer, based on webcomic or webtoon",마스크걸,/6SP6NiyFxzUaegvg4TB3TMZlv8H.jpg,/sfagVOgXVONyDAOI4BjnofLcYpv.jpg,17.8429,ko,Miniseries,7,1,https://www.netflix.com/title/81516491,Netflix,Kim Yong-hoon,Mo-mi and Mi-mo,"Ko Hyun-jung, Nana, Lee Han-byeol, Ahn Jae-hong, Yeom Hye-ran","Ryu Seong-hie (Production Design), Son Sang-bum (Executive Producer), Kim Yong-hoon (Executive Producer)",Official Trailer [Subtitled],mask girl
64254,Master of None,Ended,2015-11-06,0,"30-year-old New York actor Dev takes on such pillars of maturity as the first big job, a serious relationship, and busting sex offenders on the subway.",7.398,529,"Comedy, Drama","new york city, dating, thirty something",Master of None,/AcJM86PhgHAfbrF4dMKBaqO3cHV.jpg,/yYnxld9hgTLCOFORequmOK6paj2.jpg,21.1025,en,Scripted,25,3,http://www.netflix.com/title/80049714,Netflix,"Alan Yang, Aziz Ansari","Moments in Love, Chapter 5","Lena Waithe, Naomi Ackie","Cord Jefferson (Co-Executive Producer), Lena Waithe (Executive Producer), Naomi Ackie (Executive Producer)",Master of None | official trailer (2015) Netflix Aziz Ansari,master of none
96658,Masters of the Universe: Revelation,Ended,2021-07-23,25,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,6.546,367,"Action & Adventure, Sci-Fi & Fantasy, Animation","sword, magic, sequel, alien planet, based on toy, sword and planet, awestruck",Masters of the Universe: Revelation,/vIhyANmvTiBjlmX0Uy48Z9AD24j.jpg,/eOLKWXXbcZJg91Jf1Fn7odUirl3.jpg,15.5615,en,Scripted,10,1,https://www.netflix.com/title/81154670,Netflix,Kevin Smith,Comes with Everything You See Here,"Sarah Michelle Gellar, Tiffany Smith, Lena Headey, Liam Cunningham, Mark Hamill","Christopher Keenan (Executive Producer), Rob David (Executive Producer), Adam Bonnett (Executive Producer)",Part 1 Official Trailer,masters of the universe revelation
209275,May I Help You?,Ended,2022-10-19,70,"Baek Dong Joo, a newly hired funeral director, has the uncanny gift, or curse, to momentarily resurrect and talk to the recently deceased. She has to grant their last wishes or have her days be filled with a series of bad luck and accidents. And helping the little boy that first terrified her when he came to life will lead her down a path she never could have expected.Kim Tae Hee works as a man for hire. Employed by his uncle Vincent running the newly opened errand service company “A Dime A Job” he can be hired for any odd (but legal) task.  One day, Kim Tae Hee encounters Baek Dong Joo, when he is hired by her boyfriend to break up with her in his stead. After that, their paths continue to cross, and by the virtue of their jobs, their fates get intertwined deeper and deeper in a series of life and death situations, surrounding the wishes of the people who had died, and the painful past it is going to unravel for both of them.",8.024,42,Drama,,일당백집사,/5raBam3P9PypmcNsK7RDgyC5wAm.jpg,/wDjoR40ues797wYVeJYB1Vx5pUC.jpg,15.2513,ko,Scripted,16,1,https://program.imbc.com/MayIhelpyou,MBC,Lee Seon-Hye,Episode 16,"Lee Hye-ri, Lee Jun-young, Song Duk-ho, Han Dong-hee, Tae In-ho",Lee Seon-Hye (Writer),"May I Help You (2022) Official Trailer (ENG SUB) | Lee Hyeri, Lee Jun Young",may i help you
200945,May It Please the Court,Ended,2022-09-21,64,"Noh Chak-hee, the ace lawyer of the big law firm, Jangsan, becomes a public defender overnight and must defend the criminal who killed her loved one.",6.4,41,Drama,"judge, court, prosecutor, law firm, public defender, attorney",변론을 시작하겠습니다,/ma4Nexq6LGfCPeCHRaXQwJWilXQ.jpg,/u5AnvmnDnJnp0byDXhXpSTcKRr1.jpg,13.2419,ko,Scripted,12,1,https://www.apps.disneyplus.com/iq/shows/may-it-please-the-court/1260112840,Disney+,,Episode 12,"Jung Ryeo-won, Lee Kyoo-hyung, Jung Jin-young, Kim Hye-eun, Kim Sang-ho","Kim Dan (Writer), Kang Min-koo (Director)",Teaser Trailer 2 [Subtitled],may it please the court
132141,Maya and the Three,Ended,2021-10-22,26,A spirited princess with the heart of a warrior embarks on a mission to fulfill an ancient prophecy and save humanity from the wrath of vengeful gods.,7.867,319,"Animation, Family, Action & Adventure, Comedy, Kids","magic, legend, kingdom, princess, god, battle, warrior",Maya and the Three,/zUBixNeHU0cbSUH7JMktl9OMEMV.jpg,/vmLt0tC5KeLd4K5ASLG5s0Ho7op.jpg,13.1029,en,Miniseries,9,1,https://www.netflix.com/title/80244283,Netflix,Jorge R. Gutierrez,Chapter 9: The Sun and the Moon,"Zoe Saldaña, Jorge R. Gutierrez, Sandra Equihua, Dee Bradley Baker, Diego Luna","Jeff Ranjo (Co-Executive Producer), Silvia Cardenas Olivas (Co-Executive Producer), Jorge R. Gutierrez (Executive Producer)","""If It's To Be"" 🦅 Kali Uchis - Official Music Video | Maya and The Three | Netflix",maya and the three
76231,Mayans M.C.,Ended,2018-09-04,52,"Set in the aftermath of Jax Teller’s death, Ezekiel ""EZ"" Reyes is fresh out of prison and a prospect in the Mayans M.C. charter on the Cali/Mexi border. Now, EZ must carve out his new identity in a town where he was once the golden boy with the American Dream in his grasp.",8.0,791,"Crime, Drama","organized crime, motorcycle gang, spin off",Mayans M.C.,/510A0upV9WRAynEgs1E2B3eBxi5.jpg,/9XUIsRUB7V3iEoLSKxZCqPvbKKW.jpg,39.0935,en,Scripted,50,5,http://www.fxnetworks.com/shows/mayans-mc,FX,"Kurt Sutter, Elgin James",Slow to Bleed Fair Son,"J. D. Pardo, Clayton Cardenas, Edward James Olmos, Sarah Bolger, Michael Irby","David White (Assistant Editor), Craig Yahata (Producer), Tony D'Amore (Colorist)",Official Series Trailer,mayans m c
205214,Mech Cadets,Returning Series,2023-08-10,0,An underdog teen joins a group of young Cadets who've been chosen to bond with Robo Mechs from space and defend Earth against alien invaders.,7.293,29,"Action & Adventure, Animation, Family","invasion, based on comic, alien, mecha, giant robot, anime",Mech Cadets,/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg,/84lySbHm7IBQ1L9eIDTQKFWxo8m.jpg,12.7241,en,Scripted,10,1,https://www.netflix.com/title/81004665,Netflix,"Aaron Lam, Eileen Shim",Family,"Brandon Soo Hoo, Aparna Brielle, Anairis Quinones, Victoria Grace, Josh Sundquist","Aaron Lam (Executive Producer), Mette Norkjaer (Co-Executive Producer), Greg Pak (Comic Book)",Official Trailer,mech cadets
